Source,https://words.hk/faiman/analysis/charcount/
"
",99169
"",99169
 ,57631
0,5846
P,1238
o,16373
s,11695
t,14216
—,907
、,8199
。,78754
「,24910
」,24884
一,41901
丈,55
上,8516
下,9065
不,12541
世,3211
並,882
中,6762
之,8347
乜,2006
九,793
了,2222
事,6464
二,2198
五,1348
亞,526
交,1180
亦,3558
人,26795
今,2836
仍,1037
他,2438
代,2002
以,14504
仲,5390
任,1497
份,1686
企,1790
伐,49
伯,357
估,1022
但,10168
位,2075
低,1742
住,7155
何,1716
作,3154
你,24328
佢,21591
來,4556
例,1371
供,327
依,3517
便,536
係,60185
保,1026
俠,54
信,2092
俱,70
個,27236
倪,39
值,790
做,7772
偷,376
傳,1181
價,863
充,414
先,5651
入,4938
全,3640
兩,3465
八,1007
兵,291
其,6668
典,478
再,4976
出,9672
刀,346
分,4156
切,913
判,335
別,1150
利,1405
到,19257
制,868
刻,2256
則,738
前,3864
創,336
劃,308
劇,598
劍,174
加,2645
勝,356
匠,38
匡,39
區,912
十,3149
千,1048
南,417
印,476
即,3490
又,8602
友,2964
反,2200
叔,600
取,595
受,1772
口,3139
古,702
句,2310
另,1337
只,5671
叫,3321
可,11674
史,914
各,886
合,1496
同,15304
名,1994
否,417
告,490
呢,14928
周,571
味,903
咁,17052
和,766
咩,6829
咪,3133
品,1214
哈,2613
哼,168
唔,35486
唯,454
商,472
問,4772
啦,7259
啲,6992
善,365
單,1970
嗯,173
嘻,203
器,273
噱,6
四,1707
國,3455
在,3051
地,10402
圾,298
坐,1065
垃,301
埋,3523
埠,14
執,622
基,904
堅,450
堆,663
報,1004
場,1965
填,202
壇,117
外,2558
多,9955
夠,1962
大,14640
天,2661
套,648
好,25039
如,7019
始,2274
威,440
媒,174
子,2605
字,2871
孫,149
學,5446
宇,141
安,1336
完,3883
宙,85
定,4896
家,9128
容,1173
富,358
寢,23
實,6141
寫,2588
將,2608
專,589
對,6227
小,3443
少,3987
尖,249
尚,195
尤,367
就,18341
尾,653
屋,1595
山,904
左,7146
巨,135
己,6161
已,5431
市,1120
師,1267
常,1950
干,121
年,5848
幻,258
幾,6624
底,976
府,654
度,5336
庸,123
廢,484
廣,1138
引,647
強,1075
形,955
彩,446
影,1442
往,758
後,9615
得,13316
從,1403
心,6440
必,1064
忘,255
快,2226
怕,617
悉,155
悟,120
情,3577
想,6333
意,5370
態,702
慘,396
憂,102
應,3429
懶,269
成,6465
我,45209
或,2553
戶,141
所,6261
手,4460
才,559
打,4127
扣,116
折,176
拖,588
拗,114
拳,205
持,1107
指,1218
挽,48
推,886
提,1350
插,355
換,689
搞,1790
搵,2238
摸,260
播,275
撻,61
擁,176
擔,452
據,568
擦,105
擾,112
收,1485
改,1016
政,1555
故,1121
敢,448
散,518
數,2037
文,5973
斗,56
料,609
斯,638
斷,1076
方,3688
於,5076
旁,260
旅,313
旋,93
族,450
既,18308
日,6929
早,1340
明,3915
昔,34
是,4743
時,9520
暢,85
曉,97
曲,362
更,2465
曾,618
最,5357
會,16021
月,1377
有,27113
望,3148
朝,425
期,1820
未,2789
本,4772
杯,405
東,1385
林,1874
果,7996
根,1429
格,961
梗,483
條,2618
業,1096
極,1185
概,674
槍,227
樂,1193
樣,6247
橋,281
機,2891
欄,78
次,4103
歡,442
正,3479
此,1340
武,349
歷,755
歸,411
死,3258
比,2225
毫,377
民,1922
氣,2317
水,2471
永,471
求,1301
江,175
沫,41
沽,15
況,924
泉,59
法,3929
泡,103
洋,331
活,1156
流,1354
深,1216
混,207
渡,108
港,4609
準,654
滿,870
演,635
濟,458
濫,57
瀾,25
炸,362
為,9785
無,12931
然,11312
照,793
熟,525
爆,816
爬,85
爭,697
片,776
版,420
物,1744
獨,620
王,923
現,3267
理,3746
環,729
甚,2118
生,7702
用,5783
由,2260
界,1991
留,1252
番,2049
當,5242
白,1994
百,1046
盛,182
盡,838
直,2420
相,3176
看,649
真,8620
睇,6020
矣,67
知,7868
短,602
破,537
碰,74
禧,12
科,877
稅,72
種,2676
稱,559
稿,95
究,1447
空,934
穿,329
立,1150
竟,2282
章,406
竽,3
笑,2694
笠,54
第,2317
筆,467
等,2569
答,1160
算,2968
管,518
簡,1004
米,428
粗,390
約,596
紙,691
絕,1059
經,7150
緝,8
繼,1608
續,1775
罕,53
罵,80
美,1457
老,4273
者,3786
而,7549
聚,218
聲,3764
聽,3040
肚,291
肯,808
背,639
胸,216
能,4557
腦,916
腰,111
腳,729
臉,420
臨,278
自,9685
臭,162
至,3277
致,431
與,885
興,780
舞,279
色,1883
花,1305
荒,105
華,625
萬,1286
著,1521
蔡,41
薄,183
藏,160
藝,610
藥,228
蘭,281
虎,125
虛,293
號,665
蛇,153
蝦,109
蟹,26
蟻,29
行,4347
衞,34
被,1175
製,289
西,1718
要,12752
見,4694
規,472
覺,4170
言,1913
討,409
記,2178
評,497
詞,1142
話,10112
該,2334
認,1796
誕,123
語,3509
說,1900
調,758
談,360
論,1740
謀,110
謂,1000
講,11057
證,679
識,3007
變,2653
象,688
貨,413
貶,50
費,595
賣,617
質,641
贏,298
走,2671
起,3760
超,758
趣,556
足,1075
跡,177
身,3867
躲,15
較,666
輩,145
輪,427
辛,274
辣,87
辯,152
迎,259
返,3928
迴,125
追,864
透,350
逐,298
通,2623
連,1832
遊,790
過,10468
道,3912
違,107
遠,1105
還,844
邊,4250
部,2247
都,25591
配,378
酸,101
醉,219
醫,801
采,45
重,2679
野,3473
量,863
金,1476
鈔,24
銅,95
錢,1646
鍾,1068
鐵,548
鑿,38
長,2196
開,6250
閒,374
間,4479
闆,307
關,2253
陣,2338
除,1148
離,1460
難,1880
電,2587
霑,21
非,1245
靠,432
面,6939
鞋,187
響,849
頭,4473
頸,138
題,2526
風,1328
飛,867
食,3772
飲,1094
餐,627
餘,467
香,3978
馬,921
駛,933
驕,14
驚,1217
骨,317
高,2522
鬼,825
鳳,46
麼,923
黃,726
黎,4264
齊,1372
龍,511
！,8571
（,4718
）,4797
，,157123
：,11223
；,2359
？,15138
𢃇,1
(,1850
),2010
",",3237
-,2455
1,7011
2,5515
A,4108
C,2641
D,3972
G,931
H,848
I,1866
L,2325
M,1606
N,929
O,3170
S,2780
T,2169
W,1568
a,24794
b,4374
c,7586
d,6067
e,25948
f,3228
g,4424
h,7090
i,16673
l,15016
m,8708
n,19862
p,5819
r,12307
u,8755
v,2147
w,3393
y,4818
z,443
–,107
…,10019
《,1393
》,1393
㗎,959
七,810
三,3226
且,1235
主,2423
乎,1506
乏,112
亂,904
互,319
享,344
介,444
仔,4219
令,1847
件,1839
伸,215
使,1315
促,79
倍,132
倒,521
假,833
偏,440
傅,282
備,419
傾,677
儲,158
內,1184
公,3012
共,772
冇,3801
刃,11
初,897
副,301
劈,136
力,3358
功,884
劣,108
勒,44
動,2576
務,501
勞,201
勵,113
勾,104
包,927
化,1683
匪,104
升,659
半,1268
卷,123
卻,224
原,2347
去,10762
及,971
右,506
向,1805
吓,642
吵,26
咋,233
咗,8529
咦,148
哋,4255
哲,275
啊,655
啜,20
啱,977
喺,6069
喻,92
嗰,2804
嘅,30216
嘞,192
嘢,4001
噉,878
嚟,4862
囉,1322
回,1769
因,4470
固,200
圍,676
圖,1044
土,606
均,144
境,504
增,209
壤,9
夫,321
失,1599
存,622
密,379
寜,1
寡,41
封,325
導,449
展,727
屠,49
層,713
屬,440
崩,103
嶄,8
工,2542
差,1241
布,319
帳,39
帶,1161
幅,191
幣,181
幫,1525
延,143
建,865
式,1177
張,1456
徒,248
念,746
思,1464
性,1913
怪,941
恩,166
息,550
悖,24
悲,266
惑,131
惟,26
惠,89
愛,1910
慎,43
慢,1503
慧,90
慮,226
憑,155
戰,943
戲,755
批,311
技,498
投,702
抱,254
拎,1477
拓,20
按,293
捉,377
掉,163
掌,228
掘,76
掛,438
接,1784
措,65
握,224
損,109
擋,69
擎,21
擴,94
擸,5
擺,420
支,994
放,2162
效,355
敗,452
教,1903
整,960
敵,213
新,2233
施,261
旦,71
易,967
映,156
春,307
晏,76
晰,76
智,360
暴,309
曬,233
書,2319
服,590
析,232
架,2968
某,774
核,210
框,89
案,517
植,97
標,628
模,378
橫,224
權,822
止,781
步,1121
段,788
決,1169
沒,777
治,813
洗,581
洞,127
清,1821
減,300
源,704
滾,140
漸,247
潛,165
潤,53
潰,59
焦,90
營,200
特,1367
犀,45
獲,149
率,295
玩,1638
班,2020
產,779
畀,1633
畫,912
疑,568
發,4520
的,6867
益,275
盜,34
目,1216
研,379
確,907
碼,483
礎,73
礙,77
示,739
社,1053
神,2331
禁,295
租,131
移,312
程,796
稍,156
積,181
穩,210
窒,76
窮,210
競,99
策,178
籌,91
精,987
紀,651
級,542
素,349
細,2100
終,1886
結,2250
維,510
緩,108
縮,164
總,1115
繞,80
缺,255
置,391
義,1167
翁,53
翻,317
考,1007
耐,960
肋,20
胞,36
腸,117
良,466
英,1322
莊,172
莫,249
落,3291
藉,90
蘊,28
處,1253
蝕,115
術,835
表,1931
袋,595
裕,57
視,1189
觀,993
角,963
解,4240
計,1319
設,461
訴,191
試,1419
詳,149
諗,3290
諸,190
議,761
護,518
讀,1331
豈,67
豐,158
負,419
財,265
買,1247
貿,54
資,838
賺,164
購,66
賽,214
越,689
跌,410
輸,433
轉,1473
近,1554
述,279
送,696
造,482
進,1062
達,797
適,366
酒,828
釀,21
釋,530
銀,379
鋪,345
錯,1782
鍵,123
阻,352
降,297
限,405
階,213
際,430
障,115
隨,871
隻,1795
雖,1435
雙,653
零,580
需,926
霍,15
露,336
項,125
順,499
預,445
額,148
願,480
類,1098
顧,431
顯,661
首,1022
駁,126
髓,16
體,1503
鴻,32
麵,308
點,8482
鼎,34
鼓,217
齋,110
𡁵,29
.,5000
3,2358
4,2048
5,2223
6,3044
7,1546
8,1885
9,2204
E,4127
R,1231
á,55
í,96
ñ,20
ó,65
亡,264
似,4185
佔,250
佛,241
修,395
像,621
僧,13
元,394
六,884
刊,56
劫,85
北,429
匿,66
厚,207
員,1000
哥,925
圓,555
團,441
址,63
型,446
塊,412
塌,46
士,1325
女,5256
妹,455
姊,68
姐,486
察,492
射,339
尼,357
居,473
嶺,41
幟,13
座,379
庭,287
復,458
德,495
志,302
恢,37
憶,243
戈,34
截,125
拉,824
探,291
控,367
搖,314
旗,121
星,1204
朗,177
查,431
構,283
橢,4
歲,590
殺,1164
消,673
測,207
燒,390
牆,220
牙,930
玻,115
璃,111
瓷,14
男,2178
痕,129
登,1881
皮,480
着,145
石,516
碎,159
碳,13
禮,779
窿,103
箭,106
範,252
築,217
組,485
線,1408
織,204
翼,139
耳,466
聖,425
聞,668
薩,63
藍,264
裡,529
躍,78
軍,368
輕,848
逃,195
逢,223
週,60
遺,214
鄉,216
里,318
鎮,158
鐘,1250
鑑,26
鑲,9
阿,3318
院,622
陶,96
雕,111
雷,137
領,452
飾,227
騎,113
骸,25
黨,282
齡,63
B,2065
F,1177
Y,504
k,3323
倫,168
助,278
司,1393
咎,12
媽,1035
客,836
峰,70
幕,228
平,2034
廿,391
彈,471
彌,54
慣,347
拜,415
挖,59
掂,453
排,806
攞,219
歐,369
每,1689
湊,81
爽,153
牌,592
申,272
福,388
粵,1150
糧,95
緊,2644
罷,139
羅,370
習,635
舉,612
補,450
裝,577
訊,314
訪,180
遲,531
集,607
音,1699
飯,1123
+,122
/,3973
’,203
乾,305
伏,167
佬,863
侍,60
候,1672
僑,22
冚,75
叉,109
咬,257
喊,409
嚐,6
夜,722
奇,866
妙,379
婆,904
孤,150
室,470
屙,70
席,208
店,382
廠,105
廳,293
徊,15
律,576
徘,16
感,2293
懷,395
扎,105
捱,128
掙,98
揀,466
晚,1134
朋,1667
材,313
板,234
枱,153
枳,5
棟,78
橘,2
檔,149
氏,89
汁,69
油,291
海,1105
淮,6
炒,417
烘,8
煩,416
熱,774
燭,55
狀,370
獵,89
珍,173
珠,174
碗,293
碟,188
禾,42
秘,336
稈,1
筳,1
筷,40
箇,31
粉,252
聯,487
肉,547
芹,7
芽,19
草,313
菜,229
薯,63
蠔,13
蠟,32
豉,23
豬,377
貌,230
蹟,37
蹺,35
農,138
逾,14
遷,65
門,1456
陸,451
險,314
隱,189
雞,897
雪,266
飽,123
館,296
饌,1
鮮,220
麻,499
#,1777
:,1779
=,2333
J,2395
K,1169
Q,242
U,404
V,897
X,319
[,1061
],1064
j,642
é,82
ü,11
〈,401
〉,402
『,679
』,679
丁,186
串,176
久,280
仗,104
付,304
伊,217
佈,180
佳,186
侵,86
俗,224
側,210
傑,135
傘,52
儀,153
光,1225
具,345
冒,84
冬,95
冷,650
列,545
剪,93
割,112
劏,46
努,377
勢,619
勻,39
匹,30
博,229
參,447
台,848
吉,132
后,50
呈,59
命,1111
唐,296
嚴,331
城,860
堂,694
塑,101
塔,338
塞,158
墓,32
壁,88
奉,113
奢,47
宗,255
宰,22
寒,141
寺,64
尊,248
岔,24
島,511
崇,104
崛,12
巴,584
希,735
帝,259
廂,124
廊,94
廓,27
弟,393
弱,311
彎,62
征,37
待,441
微,436
徵,174
恐,429
惡,492
愁,77
懼,110
扶,136
把,853
披,39
拱,82
捐,66
採,100
描,153
揮,322
揸,154
摘,30
撐,128
撒,51
擊,498
敬,284
普,959
景,622
暇,38
暖,143
暗,472
曆,113
曼,118
木,290
末,170
枷,7
柱,134
棲,6
棵,68
楚,614
楣,8
榮,159
樓,893
樹,261
橡,8
欠,95
欣,380
殉,26
殊,75
殿,55
毅,29
母,945
沿,106
泥,124
注,330
泰,143
洲,250
淡,278
淺,197
溫,462
溯,15
滋,56
潮,272
濃,102
濕,272
火,902
灰,247
炬,14
燈,473
爛,368
爾,376
牲,129
犧,128
猷,3
獻,152
瑪,53
田,184
異,626
病,627
症,110
癲,170
盲,130
眼,2254
眾,752
督,145
矮,75
硬,395
祇,15
祠,19
祭,76
穀,11
穌,66
穗,3
穹,7
突,1243
窄,85
筒,81
節,832
篇,841
篤,90
篷,9
籍,74
籠,61
粒,345
系,646
納,150
純,379
紹,190
統,631
絲,339
緻,37
縱,95
繁,116
繪,51
耶,97
肅,32
股,396
肥,305
育,342
脫,265
腿,119
膊,140
臂,101
臘,82
舊,801
茂,27
萄,52
葡,71
葬,58
葺,2
蓋,123
蔓,16
藤,41
蛛,20
衷,84
裸,54
複,261
覆,322
訶,9
註,135
誘,86
請,1041
諺,13
譯,211
貢,113
貼,360
賞,281
贅,12
趨,74
跨,56
路,2173
軌,62
軸,47
載,171
輓,1
輻,7
辨,55
途,280
速,433
運,828
遞,108
郊,37
醃,6
鋸,13
鎅,3
鎬,1
鐮,2
鑽,89
闊,128
附,281
陲,6
陵,16
陽,343
隆,77
雅,133
雜,399
頂,721
頻,102
顏,126
養,366
餵,80
骷,8
髏,8
髮,355
魔,463
鷹,40
麥,157
齒,85
龕,13
🙂,43
𡃁,10
q,234
“,168
”,213
也,1096
予,65
傷,547
儒,48
凌,120
剝,40
勇,242
勤,91
吃,236
君,301
含,188
吻,56
呼,555
哭,138
啫,653
喜,505
喪,139
嚎,11
壹,9
夏,171
太,2352
妥,68
姿,114
孔,106
孝,59
孰,10
孺,8
官,560
宜,220
寵,65
尺,84
徑,91
恨,172
恭,107
恰,52
慕,57
戎,10
戚,106
拆,184
拿,354
挑,196
捏,24
搶,241
摯,11
撮,28
撳,94
曰,95
杖,41
欲,187
氛,97
泛,183
泣,52
涉,194
淨,515
游,214
溝,277
爓,1
父,317
牽,139
狄,4
狎,1
猶,172
畏,34
畢,450
疏,70
皆,201
盾,119
睹,29
矛,130
祀,15
稷,3
端,233
符,197
絡,235
網,789
緒,172
縟,7
罪,394
群,363
羸,1
腥,31
膩,27
舒,152
蠻,32
血,642
衍,52
親,698
觸,259
詮,14
誤,354
賢,80
賦,49
距,213
踊,3
踐,56
踴,1
蹈,37
辟,13
迅,121
迫,412
迭,2
遽,3
鎖,177
鏈,46
陰,308
飆,9
饗,4
駕,48
驗,429
鲁,1
－,814
Z,314
井,73
凍,189
卡,526
吸,457
呎,45
垂,61
堡,54
塘,85
壯,104
奧,127
媲,13
宿,112
岩,1431
峭,3
峽,11
崖,18
怡,21
悠,52
懸,52
房,755
括,262
擇,531
曠,26
村,314
樞,4
殘,229
河,205
派,562
涼,225
牛,637
獎,115
省,175
瞭,23
站,409
糯,7
紐,25
繹,29
蔭,29
蜒,8
蜿,6
街,1617
詩,455
諾,79
谷,111
貝,39
貪,125
車,1644
辦,867
迪,74
遜,21
遮,198
選,1226
陡,4
隊,590
隔,458
霸,278
靚,701
餓,99
鬥,383
乖,113
伴,168
俾,3462
健,187
儘,44
兄,388
冰,124
勉,117
呀,6159
哂,210
壓,418
床,293
康,166
忍,613
扭,169
承,502
抒,35
擠,102
攪,74
攰,69
暈,67
曳,14
柔,130
校,827
歉,158
波,618
淚,294
激,427
煽,25
疫,127
痛,692
癌,34
眠,59
瞓,329
粹,184
罰,140
苦,793
衫,471
褸,52
諒,118
謝,525
豆,270
責,504
踏,148
錄,416
錫,166
閉,284
陪,273
頹,80
驅,63
Á,11
Ú,1
ï,20
乘,226
偉,299
